<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2020.12.10	00:52:00	1.20809	1.20809	1.20796	1.20807	84	0	5
2020.12.10	00:56:00	1.20807	1.20807	1.20799	1.20799	36	0	7
2020.12.10	01:00:00	1.20800	1.20815	1.20771	1.20772	145	0	0
2020.12.10	01:04:00	1.20772	1.20782	1.20772	1.20782	52	0	0
2020.12.10	01:08:00	1.20782	1.20791	1.20782	1.20789	58	0	1
2020.12.10	01:12:00	1.20789	1.20799	1.20788	1.20790	52	0	0
2020.12.10	01:16:00	1.20790	1.20791	1.20777	1.20777	51	0	0
2020.12.10	01:20:00	1.20778	1.20778	1.20758	1.20767	39	0	0
2020.12.10	01:24:00	1.20767	1.20767	1.20763	1.20765	18	0	0
2020.12.10	01:28:00	1.20765	1.20776	1.20762	1.20772	34	0	0
2020.12.10	01:32:00	1.20772	1.20778	1.20771	1.20777	51	0	0
2020.12.10	01:36:00	1.20777	1.20798	1.20776	1.20794	80	0	0
2020.12.10	01:40:00	1.20795	1.20795	1.20784	1.20787	44	0	0
2020.12.10	01:44:00	1.20787	1.20791	1.20772	1.20774	84	0	0
2020.12.10	01:48:00	1.20774	1.20777	1.20769	1.20774	50	0	0
2020.12.10	01:52:00	1.20774	1.20775	1.20765	1.20771	46	0	0
2020.12.10	01:56:00	1.20771	1.20785	1.20771	1.20783	77	0	0
2020.12.10	02:00:00	1.20784	1.20844	1.20784	1.20836	278	0	0
2020.12.10	02:04:00	1.20836	1.20837	1.20803	1.20816	88	0	0
2020.12.10	02:08:00	1.20816	1.20834	1.20814	1.20834	82	0	0
2020.12.10	02:12:00	1.20834	1.20836	1.20810	1.20811	88	0	0
2020.12.10	02:16:00	1.20811	1.20812	1.20798	1.20809	95	0	0
2020.12.10	02:20:00	1.20809	1.20836	1.20804	1.20835	95	0	0
2020.12.10	02:24:00	1.20835	1.20842	1.20824	1.20837	64	0	0
2020.12.10	02:28:00	1.20837	1.20837	1.20817	1.20818	104	0	0
2020.12.10	02:32:00	1.20818	1.20829	1.20807	1.20817	89	0	0
2020.12.10	02:36:00	1.20817	1.20830	1.20816	1.20830	41	0	0
2020.12.10	02:40:00	1.20830	1.20832	1.20822	1.20832	72	0	0
2020.12.10	02:44:00	1.20832	1.20842	1.20830	1.20832	83	0	0
2020.12.10	02:48:00	1.20832	1.20837	1.20824	1.20830	60	0	0
2020.12.10	02:52:00	1.20830	1.20837	1.20810	1.20820	167	0	0
2020.12.10	02:56:00	1.20820	1.20837	1.20816	1.20819	124	0	0
2020.12.10	03:00:00	1.20819	1.20841	1.20814	1.20831	193	0	0
2020.12.10	03:04:00	1.20831	1.20832	1.20814	1.20819	164	0	0
2020.12.10	03:08:00	1.20819	1.20828	1.20812	1.20815	141	0	0
2020.12.10	03:12:00	1.20815	1.20822	1.20804	1.20811	108	0	0
2020.12.10	03:16:00	1.20811	1.20823	1.20807	1.20812	73	0	0
2020.12.10	03:20:00	1.20812	1.20821	1.20810	1.20817	68	0	0
2020.12.10	03:24:00	1.20817	1.20820	1.20802	1.20807	114	0	0
2020.12.10	03:28:00	1.20808	1.20821	1.20803	1.20817	187	0	0
2020.12.10	03:32:00	1.20817	1.20821	1.20802	1.20803	147	0	0
2020.12.10	03:36:00	1.20803	1.20810	1.20796	1.20802	144	0	0
2020.12.10	03:40:00	1.20803	1.20818	1.20801	1.20811	93	0	0
2020.12.10	03:44:00	1.20811	1.20814	1.20799	1.20807	125	0	0
2020.12.10	03:48:00	1.20808	1.20822	1.20805	1.20817	131	0	0
2020.12.10	03:52:00	1.20817	1.20821	1.20811	1.20821	113	0	0
2020.12.10	03:56:00	1.20821	1.20821	1.20811	1.20817	108	0	0
2020.12.10	04:00:00	1.20817	1.20821	1.20812	1.20816	88	0	0
2020.12.10	04:04:00	1.20816	1.20821	1.20810	1.20819	138	0	0
2020.12.10	04:08:00	1.20819	1.20822	1.20811	1.20822	134	0	0
2020.12.10	04:12:00	1.20822	1.20836	1.20821	1.20833	112	0	0
2020.12.10	04:16:00	1.20833	1.20852	1.20830	1.20851	120	0	0
2020.12.10	04:20:00	1.20851	1.20863	1.20843	1.20859	108	0	0
2020.12.10	04:24:00	1.20861	1.20884	1.20861	1.20882	134	0	0
2020.12.10	04:28:00	1.20882	1.20886	1.20877	1.20878	145	0	0
2020.12.10	04:32:00	1.20878	1.20902	1.20877	1.20895	147	0	0
2020.12.10	04:36:00	1.20895	1.20898	1.20882	1.20885	124	0	0
2020.12.10	04:40:00	1.20885	1.20898	1.20884	1.20892	70	0	0
2020.12.10	04:44:00	1.20892	1.20903	1.20876	1.20883	221	0	0
2020.12.10	04:48:00	1.20883	1.20892	1.20876	1.20892	99	0	0
2020.12.10	04:52:00	1.20892	1.20897	1.20886	1.20895	109	0	0
2020.12.10	04:56:00	1.20895	1.20915	1.20886	1.20891	162	0	0
2020.12.10	05:00:00	1.20891	1.20896	1.20881	1.20893	162	0	0
2020.12.10	05:04:00	1.20893	1.20893	1.20879	1.20883	160	0	0
2020.12.10	05:08:00	1.20883	1.20887	1.20877	1.20879	113	0	0
2020.12.10	05:12:00	1.20879	1.20904	1.20876	1.20902	105	0	0
2020.12.10	05:16:00	1.20902	1.20902	1.20884	1.20893	124	0	0
2020.12.10	05:20:00	1.20893	1.20899	1.20878	1.20885	111	0	0
2020.12.10	05:24:00	1.20885	1.20898	1.20883	1.20897	99	0	0
2020.12.10	05:28:00	1.20897	1.20903	1.20893	1.20903	117	0	0
2020.12.10	05:32:00	1.20903	1.20914	1.20896	1.20913	116	0	0
2020.12.10	05:36:00	1.20913	1.20944	1.20911	1.20943	118	0	0
2020.12.10	05:40:00	1.20943	1.20953	1.20927	1.20943	168	0	0
2020.12.10	05:44:00	1.20943	1.20955	1.20938	1.20944	87	0	0
2020.12.10	05:48:00	1.20944	1.20944	1.20934	1.20936	76	0	0
2020.12.10	05:52:00	1.20937	1.20938	1.20926	1.20935	105	0	0
2020.12.10	05:56:00	1.20935	1.20937	1.20927	1.20935	64	0	0
2020.12.10	06:00:00	1.20935	1.20955	1.20933	1.20951	84	0	0
2020.12.10	06:04:00	1.20951	1.20952	1.20941	1.20944	72	0	0
2020.12.10	06:08:00	1.20944	1.20956	1.20943	1.20955	86	0	0
2020.12.10	06:12:00	1.20955	1.20982	1.20948	1.20976	124	0	0
2020.12.10	06:16:00	1.20976	1.20997	1.20972	1.20979	165	0	0
2020.12.10	06:20:00	1.20979	1.20979	1.20966	1.20968	79	0	0
2020.12.10	06:24:00	1.20968	1.20969	1.20961	1.20961	96	0	0
2020.12.10	06:28:00	1.20961	1.20986	1.20960	1.20963	84	0	0
2020.12.10	06:32:00	1.20963	1.20966	1.20961	1.20964	65	0	0
2020.12.10	06:36:00	1.20964	1.20974	1.20961	1.20965	71	0	0
2020.12.10	06:40:00	1.20965	1.20979	1.20964	1.20967	70	0	0
2020.12.10	06:44:00	1.20967	1.20972	1.20965	1.20971	72	0	0
2020.12.10	06:48:00	1.20971	1.20981	1.20966	1.20979	73	0	0
2020.12.10	06:52:00	1.20981	1.20988	1.20979	1.20985	56	0	0
2020.12.10	06:56:00	1.20985	1.21004	1.20982	1.20992	141	0	0
2020.12.10	07:00:00	1.20992	1.20992	1.20979	1.20981	184	0	0
2020.12.10	07:04:00	1.20981	1.20987	1.20979	1.20981	88	0	0
2020.12.10	07:08:00	1.20981	1.20982	1.20962	1.20962	73	0	0
2020.12.10	07:12:00	1.20962	1.20971	1.20960	1.20968	71	0	0
2020.12.10	07:16:00	1.20968	1.20974	1.20963	1.20973	63	0	0
2020.12.10	07:20:00	1.20973	1.20975	1.20965	1.20966	40	0	0
2020.12.10	07:24:00	1.20966	1.20969	1.20963	1.20964	39	0	0
2020.12.10	07:28:00	1.20964	1.20972	1.20961	1.20963	70	0	0
2020.12.10	07:32:00	1.20963	1.20968	1.20961	1.20963	52	0	0
2020.12.10	07:36:00	1.20963	1.20963	1.20951	1.20952	79	0	0
2020.12.10	07:40:00	1.20953	1.20959	1.20944	1.20957	88	0	0
2020.12.10	07:44:00	1.20957	1.20964	1.20952	1.20963	83	0	0
2020.12.10	07:48:00	1.20963	1.20965	1.20949	1.20949	98	0	0
2020.12.10	07:52:00	1.20949	1.20952	1.20931	1.20934	143	0	0
2020.12.10	07:56:00	1.20934	1.20964	1.20934	1.20962	182	0	0
2020.12.10	08:00:00	1.20962	1.20964	1.20927	1.20938	209	0	0
2020.12.10	08:04:00	1.20939	1.20939	1.20916	1.20921	79	0	0
2020.12.10	08:08:00	1.20921	1.20932	1.20913	1.20916	93	0	0
2020.12.10	08:12:00	1.20916	1.20927	1.20914	1.20921	95	0	0
2020.12.10	08:16:00	1.20921	1.20923	1.20912	1.20917	60	0	0
2020.12.10	08:20:00	1.20917	1.20927	1.20912	1.20925	71	0	0
2020.12.10	08:24:00	1.20925	1.20942	1.20921	1.20936	125	0	0
2020.12.10	08:28:00	1.20936	1.20937	1.20923	1.20929	149	0	0
2020.12.10	08:32:00	1.20929	1.20929	1.20912	1.20917	98	0	0
2020.12.10	08:36:00	1.20917	1.20919	1.20905	1.20910	116	0	0
2020.12.10	08:40:00	1.20910	1.20912	1.20881	1.20881	181	0	0
2020.12.10	08:44:00	1.20881	1.20888	1.20867	1.20884	182	0	0
2020.12.10	08:48:00	1.20884	1.20898	1.20883	1.20895	116	0	0
2020.12.10	08:52:00	1.20895	1.20899	1.20888	1.20893	106	0	0
2020.12.10	08:56:00	1.20893	1.20898	1.20877	1.20877	124	0	0
2020.12.10	09:00:00	1.20877	1.20877	1.20856	1.20877	197	0	0
2020.12.10	09:04:00	1.20877	1.20892	1.20872	1.20884	196	0	0
2020.12.10	09:08:00	1.20885	1.20935	1.20883	1.20925	233	0	0
2020.12.10	09:12:00	1.20925	1.20944	1.20921	1.20927	215	0	0
2020.12.10	09:16:00	1.20927	1.20968	1.20927	1.20964	234	0	0
2020.12.10	09:20:00	1.20964	1.20972	1.20934	1.20960	279	0	0
2020.12.10	09:24:00	1.20960	1.20983	1.20955	1.20962	225	0	0
2020.12.10	09:28:00	1.20962	1.20967	1.20920	1.20923	365	0	0
2020.12.10	09:32:00	1.20924	1.20984	1.20922	1.20983	242	0	0
2020.12.10	09:36:00	1.20983	1.20985	1.20950	1.20961	329	0	0
2020.12.10	09:40:00	1.20961	1.20965	1.20938	1.20943	241	0	0
